,Importance
large_breasts,0.018745225255777504
breasts,0.015014844473249668
comic,0.01345879960869659
blush,0.01002475205437587
thighs,0.007731667749007287
smile,0.007364366962849711
looking_at_viewer,0.007249391353609403
simple_background,0.007161286909176636
white_background,0.007078127699549341
cleavage,0.007033370837174151
holding,0.0065842410734916704
open_mouth,0.006342848635878372
solo,0.006308739519693855
black_hair,0.006039577032811093
long_hair,0.005970625707929076
closed_mouth,0.005893743100687452
blue_eyes,0.005889721565976121
ass,0.005806321930420049
long_sleeves,0.005787290085722311
hair_between_eyes,0.005642443529006507
flower,0.005596450992834237
short_hair,0.0055607757478177925
bangs,0.005447473672591919
monochrome,0.005240757792754181
shirt,0.0052254627709391824
sitting,0.005191066440395886
blonde_hair,0.005147585592571304
speech_bubble,0.005091042749721825
very_long_hair,0.0050883694505542655
red_eyes,0.005057263151071716
hair_ornament,0.004982644666257483
dress,0.00490950562952768
white_hair,0.004867802577759403
1girl,0.0048089692585838156
1boy,0.004806131841523625
brown_hair,0.004759735297678324
standing,0.004715358244312373
collarbone,0.004556574329071172
bare_shoulders,0.004513011939482295
greyscale,0.004497478177870443
hat,0.004481526005481743
jacket,0.004479041532260214
jewelry,0.004472854316545507
food,0.004471702841099176
bow,0.004463352633655145
gloves,0.004460460017372599
ribbon,0.004424754120010474
upper_body,0.004405058718429772
purple_eyes,0.004311931964836518
skirt,0.004283781136111629
signature,0.00417813846805718
swimsuit,0.004094342478903878
indoors,0.004081711938819558
ahoge,0.0040431137336605786
frills,0.004034111783895532
navel,0.004026502536994023
medium_breasts,0.003988085765452937
full_body,0.003962057339635983
outdoors,0.003941877420358273
blue_hair,0.0038612036940367583
yellow_eyes,0.0038396594710331067
animal_ears,0.0038284997588410447
green_eyes,0.003802256711503996
white_shirt,0.003798473750883538
braid,0.00377406899795951
parted_lips,0.003747284190740092
no_humans,0.003747028753586131
earrings,0.0037155396462409214
grey_hair,0.003701570099497399
underwear,0.0036813307762058336
thighhighs,0.003675637596794154
closed_eyes,0.0036395149382646126
panties,0.003626146531870299
pink_hair,0.003538284310994927
multicolored_hair,0.003535514995605643
artist_name,0.003497325927227917
multiple_girls,0.003495837783799977
bird,0.003493403271411108
twintails,0.0034349514500244286
sidelocks,0.003337742502159745
short_sleeves,0.0033063636056641166
weapon,0.0033025996620957548
bikini,0.003260196489165233
brown_eyes,0.003259016299564301
pantyhose,0.0032556097458292543
sky,0.0032500941061537787
ponytail,0.0032478459032841116
tail,0.003181469737160027
wings,0.003180882434845655
water,0.0031380483064991148
:d,0.003117003573314341
petals,0.003105969346615635
animal,0.0031047585334890797
purple_hair,0.0030328835343979865
scenery,0.0030302871887317173
black_gloves,0.002943534053143482
2girls,0.002936331382718767
pants,0.0029245702962651648
day,0.0029024670030487402
horns,0.0028925106015884085
hair_bow,0.0028729966025115915
heart,0.0028550266448929755
choker,0.0028386866566712157
twitter_username,0.0028309879280374976
multiple_boys,0.0028235820321188755
sweat,0.0028144718452309497
wide_sleeves,0.0028049521085898315
white_dress,0.0028027123874989606
blurry,0.002746538595590149
male_focus,0.0027446080116688308
hair_ribbon,0.0027172204380781838
japanese_clothes,0.0026808778843888724
lying,0.002674977609831925
school_uniform,0.0026748491253426377
sleeveless,0.002659506882901054
cup,0.002658496467252774
bag,0.0026562533423117878
cowboy_shot,0.0026512996790699532
detached_sleeves,0.0026182986798650642
boots,0.0026156955098822765
shorts,0.002606212165685736
tree,0.0025955881364328687
hand_up,0.0025873042972834404
4koma,0.002566653608594397
shoes,0.002565778675851044
collared_shirt,0.002561562995897899
cloud,0.0025412857556532816
necktie,0.002517511423801429
teeth,0.0025087903127806927
belt,0.0025079039565114214
open_clothes,0.0024835228624752272
nail_polish,0.002469488217845813
hood,0.0024306526433630483
black_skirt,0.0023888510797956783
pointy_ears,0.002384181239935597
black_dress,0.002376430230630757
black_footwear,0.002362165886305594
off_shoulder,0.0023530754181648374
red_hair,0.0023415502029734032
feet,0.002328019706444109
hair_flower,0.002320643109218604
pleated_skirt,0.002318601187920834
hairclip,0.0022943056141001184
glasses,0.0022832238264343095
hairband,0.002265880533048568
black_jacket,0.002239429377023794
virtual_youtuber,0.002234720187690502
one_eye_closed,0.002228669135934559
scarf,0.002228450708035733
window,0.0022233563433199277
sword,0.002219893693918391
no_shoes,0.002215916564779883
grin,0.0022046930863934017
fur_trim,0.0021482719580103436
kimono,0.0021404138154742956
hair_over_one_eye,0.0021099500692492077
wet,0.002109788003759567
black_shirt,0.0021089470156773977
barefoot,0.0020906747836484064
high_heels,0.002086999406094415
sweater,0.0020746126256658824
grey_background,0.0020674647907672253
halo,0.0020594857954482812
sleeves_past_wrists,0.0020532667961382423
pink_eyes,0.0020510669451067466
fruit,0.0020479458763755457
holding_weapon,0.0020389978533133044
armpits,0.0020279954956833536
toes,0.0020244273895319064
hands_up,0.0020136980227253086
white_gloves,0.0020126753638203725
puffy_sleeves,0.0019966855535107626
arm_up,0.001981643391485818
animal_ear_fluff,0.0019778256724965596
from_side,0.0019777358009196153
chibi,0.001967240617865643
armor,0.0019466637172471269
blue_sky,0.0019413917788204443
coat,0.0019296531936843692
star_\(symbol\),0.0019053060406268275
socks,0.0019050853077743895
depth_of_field,0.00190137309461626
open_jacket,0.0018975297929010526
stomach,0.0018912826743202498
black_thighhighs,0.001888605214939058
cape,0.001883753429376896
see-through,0.0018799302540581694
building,0.0018774223850449895
parted_bangs,0.0018645479283929578
mask,0.0018453172095353563
soles,0.0018360355953306593
green_hair,0.0018250600690759386
bowtie,0.001817354963504897
night,0.0017833135779635923
cat_ears,0.0017802177211907672
white_flower,0.0017735145381110146
small_breasts,0.001766829764936894
blunt_bangs,0.001766694008487128
yuri,0.0017585804981151035
necklace,0.001747043501414902
two-tone_hair,0.0017454114742175664
leaf,0.0017405195327705805
solo_focus,0.0017373547703157836
black_headwear,0.0017331594010273562
from_behind,0.0017195648202809354
hair_bun,0.0017162634469531062
orange_hair,0.0017114290933627821
tongue,0.0016952607297689851
sailor_collar,0.0016806306853684439
looking_back,0.0016763892608523006
on_back,0.0016614575259890746
cat,0.0016594580203690883
sleeveless_dress,0.0016518481809757726
two_side_up,0.001647324679696604
pokemon_\(creature\),0.0016404280302704801
blurry_background,0.00163582605755909
legs,0.0016321080141601168
black_pantyhose,0.0016310305170538686
bug,0.001629410463603831
elbow_gloves,0.0016264700710135816
streaked_hair,0.0016206082765533197
alternate_costume,0.0016075366653494198
covered_navel,0.0016047980004223928
bracelet,0.001582199698176979
looking_at_another,0.0015776514513263966
2boys,0.0015746108124741294
food_focus,0.001570514621199123
apron,0.0015668661313203028
red_ribbon,0.001561041896326524
striped,0.0015468311329553844
table,0.0015459700450851557
floating_hair,0.00154574519430768
midriff,0.0015323670744846179
fang,0.0015231006537097319
grey_eyes,0.0015187218228691214
book,0.0015181234538388041
cherry_blossoms,0.0015062989964180372
blue_skirt,0.0014885981584220253
serafuku,0.0014773944914397027
mole,0.0014709716268036944
dark_skin,0.001461488104394954
blood,0.0014537507488083705
black_bow,0.0014482851681455742
white_thighhighs,0.0014236364452817338
rabbit_ears,0.0014162630249543087
cat_tail,0.0014158564816722377
black_pants,0.0014056871196448447
sparkle,0.0014040217917819153
butterfly,0.0013970754682790573
fingerless_gloves,0.0013945098303661677
neck_ribbon,0.0013918722700045668
watermark,0.0013883405005690275
black_background,0.0013835952432607204
black_choker,0.0013757511211533702
sash,0.0013746309513451365
official_alternate_costume,0.0013743394770022032
blue_dress,0.0013695774764050815
star_\(sky\),0.001367252531591002
bare_legs,0.0013626939477855802
obi,0.0013625017242735124
rose,0.0013620231464689934
arms_up,0.0013525863061889948
bare_arms,0.0013499967712773567
clothes_lift,0.0013489791621958778
red_bow,0.0013453977689286828
chair,0.00134235647039856
profile,0.0013334638630843687
english_text,0.0013327916589375188
plant,0.0013282916661505608
clothing_cutout,0.001318763970002694
vest,0.001317687141432135
white_footwear,0.0013133287018913572
:o,0.0013102326848524856
one_side_up,0.0013028866451481969
black_eyes,0.0012985108098921465
collar,0.0012750698802809007
:3,0.0012728022633062847
holding_sword,0.00127189446469081
neckerchief,0.001248975142664006
3girls,0.00124695349415481
pillow,0.0012439460507052903
thigh_strap,0.0012431669445818357
red_flower,0.0012353998896296097
strapless,0.0012312223214283055
plaid,0.0012202585506782427
tongue_out,0.001217520038652795
tassel,0.0012120732601949174
miniskirt,0.001211690213535864
dutch_angle,0.001207079045868749
floral_print,0.0011958471284320839
bottle,0.0011956045369786777
orange_eyes,0.0011952487203674604
black_ribbon,0.001194829464105064
scrunchie,0.0011908871660694278
mole_under_eye,0.001189861825349002
chinese_clothes,0.0011881767577674664
horse_ears,0.001184182322867131
starry_sky,0.0011822070715746032
hoodie,0.001171348691947202
side_ponytail,0.001166356263501327
