,Coefficient
brown_cardigan,1.9583482525677034
pauldrons,1.8775459970175645
red_collar,1.7547719973785114
"arrow_\(symbol\),",1.7441128406398387
tamamo_\(fate\),1.573783110453112
"platform_footwear,",1.5692114445477567
"two-tone_background,",1.5473357489584072
slit_pupils,1.504330304984117
"stand_\(jojo\),",1.4728234056261809
"lotus,",1.453322221282821
happy_birthday,1.4222501708649258
"holding_stuffed_toy,",1.4178279658722943
"orange_nails,",1.4095272141122868
"gem_uniform_\(houseki_no_kuni\),",1.394825590222472
"floating_object,",1.3851445112789753
mika_\(blue_archive\),1.3618891660659627
flute,1.347542632129086
sun,1.3457878362910467
unsheathing,1.315590848631681
"single_thighhigh,",1.310861305994234
"flute,",1.30905416679801
scathach_\(fate\),1.3028254037302107
hassan_of_serenity_\(fate\),1.3021189976551988
"chewing_gum,",1.3019011045990458
bun_cover,1.298220827095106
shoe_soles,1.2781794435172666
striped_bowtie,1.2732408539909592
watering_can,1.2545079172437033
"tiered_tray,",1.2497521389657138
"fedora,",1.2387333414300261
card_\(medium\),1.2370540802008436
braided_bun,1.2336081764007045
handcuffs,1.2252955133338945
"yellow_flower,",1.2200915232615164
fujimaru_ritsuka_\(male\),1.2139153700990493
"vines,",1.2096380275275558
no_bra,1.2085343147901035
"tail_raised,",1.2005108185013014
rumia,1.1970041294273643
aged_up,1.1967323375282677
"greyscale,",1.196291959349332
multicolored_nails,1.1955894560202884
"orange_bikini,",1.192376982800169
"blue_neckerchief,",1.190028570643678
"axe,",1.1887964324471685
"strapless_dress,",1.1749470509580686
thought_bubble,1.1726256663182855
cutoffs,1.1619486418472618
"on_chair,",1.159134476336596
male_child,1.1559088679789737
"bicycle,",1.1541211576558617
"sniper_rifle,",1.1511707078235414
"french_braid,",1.149225233329636
traditional_media,1.1482455268512934
detached_wings,1.148148684653271
"novel_cover,",1.1445504409187974
"craft_essence_\(fate\),",1.1443282888862543
"white_tank_top,",1.141224406822903
"pastel_colors,",1.1395972220261397
loose_socks,1.1377390861394294
utility_pole,1.135595074171025
tokin_hat,1.1278418233324445
!,1.1205513125833024
hk416_\(girls'_frontline\),1.1109771873605383
":p,",1.1068040941545763
"cutoffs,",1.1032450811465504
"egasumi,",1.1004547039560162
micro_shorts,1.0990461691210678
